tipo,categoria,subcategoria,contenedor,instrucciones,errores_comunes,impacto,urgencia
cristal_no_reciblable,Reciclable,Vidrio (transparente),Punto limpio,"Enjuagar con agua; Retirar tapas, corchos o etiquetas no de vidrio si es posible; Depositar con cuidado para evitar roturas","Mezclar con otros tipos de vidrio (ej: ventanas, espejos, vajilla, bombillas); Tirar con restos de comida o líquido; Depositar vidrio de color si solo se acepta transparente",Reciclar vidrio ahorra energía y reduce la necesidad de materias primas; una botella de vidrio reciclada ahorra suficiente energía para encender una bombilla por 4 horas,Baja
metal_y_chatarra,Reciclable,Metales (Ferrosos y No Ferrosos),Punto limpio,"Separar por tipo de metal si es posible; Retirar otros materiales (plastico, goma); Limpiar residuos de aceites o liquidos si aplica",Tirar con liquidos o aceites; Mezclar con otros residuos no metalicos; Desechar metales con componentes peligrosos sin previo tratamiento,"Reciclar metal ahorra energia, reduce la extraccion de recursos naturales y disminuye la contaminacion del agua y el aire.",Media
escombros_y_restos_de_obra,Residuo Especial,"Mixto de obra (hormigon, ladrillo, yeso, plastico, metales)",Punto limpio,"Contactar empresa gestora de residuos de construccion y demolicion (RCD); No mezclar con residuos domiciliarios o peligrosos; Segregar materiales si es posible (ej: hormigon, ladrillo, metal, plastico)","Tirar en contenedores comunes; Depositar residuos peligrosos (amianto, pinturas, disolventes); No clasificar materiales por tipo",La gestion adecuada de los RCDs reduce la contaminacion y fomenta la economia circular de materiales,Media
muebles_y_enseres,Residuo Especial,Mueble voluminoso; Madera compuesta (MDF/aglomerado); Metales,Punto limpio,Desmontar el mueble y separar sus componentes; Llevar a un punto limpio para su correcta gestión; Contactar con el servicio municipal de recogida de voluminosos si aplica.,Abandonar en la vía pública; Depositar en contenedores de basura o reciclaje comunes; No separar los metales de la madera.,Evita la acumulación de residuos voluminosos; Permite la recuperación de materiales como el metal.,Media
papel_y_carton,Reciclable,Cartón,Contenedor urbano azul,"Asegurarse de que esté vacía y limpia; Retirar cualquier cinta adhesiva, etiquetas o plásticos; Desarmar y aplastar para reducir volumen",Tirar con restos de comida o grasa; Mezclar con cartones encerados o laminados; No desarmar y ocupar mucho espacio en el contenedor,Reciclar cartón reduce la tala de árboles y ahorra energía y agua en su producción,Baja
radiografias,Residuo Especial,Película radiográfica con sales de plata,Punto limpio,Consultar normativa local para descarte; No desechar con basura común; Contactar a centros de reciclaje especializados en residuos médicos para la recuperacion de plata; Almacenar en lugar seco y oscuro antes de su recoleccion,Desechar en contenedores de reciclaje de papel o plastico; Quemar las placas; Tirar a la basura comun,La recuperacion de plata reduce la necesidad de mineria y evita la contaminacion por metales pesados,Media
restos,Basura Común,Madera tratada/pintada,Contenedor urbano gris,Descartar en el contenedor de basura común; Considerar donación si el juguete está en buen estado y es reutilizable,Intentar reciclar en contenedores de madera sin tratar; Mezclar con residuos orgánicos compostables,"La madera es un recurso renovable, pero los tratamientos y pinturas pueden afectar su biodegradación; Priorizar la reutilización prolonga su vida útil",Baja
pinturas_disolventes_y_productos_quimicos,Residuo Especial,Pintura y envases contaminados,Punto limpio,Nunca verter por el desagüe; Almacenar en envase original bien cerrado; Llevar a un punto limpio o centro de acopio; Consultar con la autoridad local sobre la gestión específica de este tipo de residuo,Tirar a la basura común; Verter en desagües o suelos; Dejar envases abiertos expuestos al aire libre; Incinerar,"Contamina el agua y el suelo, es tóxico para la vida silvestre y las personas, y genera vapores nocivos.",Alta
pilas_y_baterias,Residuo Especial,Bateria de Litio-ion (LiPo),Punto limpio,No perforar ni dañar; Aislar los terminales con cinta adhesiva; Llevar a un punto de recoleccion especializado para pilas y baterias,Tirar a la basura comun; Incinerar; Perforar o desarmar la bateria; Almacenar cerca de fuentes de calor,Contiene metales pesados y quimicos toxicos que contaminan suelo y agua,Alta
raee_residuos_de_aparatos_electronicos,Residuo Especial,RAEE (Residuos de Aparatos Eléctricos y Electrónicos),Punto limpio,No desarmar el aparato; Depositar en un punto de recogida específico de RAEE; Consultar con la municipalidad o centros especializados,Tirar a la basura común; Tirar en contenedor de plásticos o metales; Desarmar el aparato en casa,"Reciclar RAEE evita la contaminación por metales pesados y recupera materiales valiosos como cobre, oro y plásticos",Alta
electrodomesticos,Residuo Especial,Aparatos Eléctricos y Electrónicos (RAEE),Punto limpio,No desechar en basura común; Llevar a puntos limpios o centros de recogida RAEE autorizados; Consultar si el comercio retira el antiguo al comprar uno nuevo,Depositar en contenedores de basura comunes; Abandonar en la vía pública; Intentar desmantelar sin autorización,Los RAEE contienen materiales valiosos y sustancias peligrosas que deben ser gestionadas correctamente para evitar la contaminación y recuperar recursos.,Alta
juguetes_electronicos,Residuo Especial,Aparato electronico (RAEE); Plastico; Metal; Bateria,Punto limpio,No desechar en la basura comun; Separar las pilas o baterias si son extraibles; Llevar a un Punto Limpio o centro de recogida de RAEE,Desechar en el contenedor de plastico; Tirar a la basura comun; No separar las pilas/baterias,Los RAEE contienen sustancias peligrosas que contaminan el medio ambiente y materiales valiosos que pueden ser recuperados,Alta
ropa_y_calzado,Reciclable,Fibras textiles y cuero,Punto limpio,Separar por tipo de prenda (si posible); Asegurarse de que estén secos y limpios; Donar si están en buen estado; Depositar en contenedores específicos de ropa y calzado para reciclaje o reutilización,Tirar a la basura comun; Depositar mojado o muy sucio; Mezclar con otros residuos no textiles,Reduce la cantidad de residuos en vertederos y ahorra recursos en la produccion de nuevas prendas.,Media
medicamentos_y_envases,Residuo Especial,Residuos farmaceuticos y sus envases,Punto SIGRE,"Recopilar medicamentos vencidos o no usados; Llevar los medicamentos (pastillas, jarabes, blisters) y sus envases (cajas de carton, botes, aerosoles) a un punto de recogida en farmacias.","Tirar medicamentos al inodoro o lavabo; Descartar medicamentos o sus envases en los contenedores de reciclaje habituales (papel, plastico, vidrio); Almacenar medicamentos vencidos en casa.",Contaminacion de agua y suelo por sustancias quimicas; Riesgos para la salud publica y la fauna si no se gestionan correctamente.,Alta
envases,Reciclable,"Plastico (PET, HDPE, PP)",Contenedor urbano amarillo,"Vaciar completamente; Enjuagar con agua; Si es posible, separar tapas y dosificadores de diferente material; Aplastar para reducir volumen",Tirar con contenido residual; No separar componentes de distinto material; Mezclar con basura común,El reciclaje de plásticos reduce la contaminación por microplásticos y la extracción de recursos naturales.,Media
toner_y_cartuchos_de_impresora,Residuo Especial,Cartucho de tinta / RAEE,Punto limpio,No desechar con basura comun; Llevar a un punto limpio o centro de recoleccion especifico; Verificar programas de reciclaje del fabricante,Tirar a la basura comun; Intentar vaciar o desarmar el cartucho; Mezclar con residuos reciclables convencionales,Los cartuchos contienen tintas y componentes electronicos que pueden contaminar si no se gestionan correctamente; Reciclar reduce residuos peligrosos y recupera materiales.,Alta
vidrio,Reciclable,Vidrio Ambar,Contenedor urbano verde,"Vaciar completamente el contenido; Enjuagar con agua para eliminar residuos; Retirar la tapa/tapón si es de material diferente; Si la tapa/tapón es de vidrio o corcho, puede ir con el frasco, si es de plástico o metal, desechar por separado en su contenedor correspondiente","Tirar con restos de producto; Incluir tapas de otros materiales; Mezclar con vidrio de ventana, espejos o cerámica","El vidrio es 100% reciclable infinitas veces sin perder calidad, ahorrando energía y recursos naturales en su producción.",Baja
bombillas_y_fluorescentes,Residuo Especial,Aparatos electronicos (RAEE) / Pilas y Baterias,Punto limpio,"No tirar a la basura común; Llevar a puntos limpios o puntos de recogida específicos para RAEE o lámparas; Manipular con cuidado para evitar roturas, especialmente CFLs por el mercurio",Tirar en contenedor de vidrio o basura común; Romper deliberadamente la bombilla; No separar por tipo de bombilla si el punto de recogida lo requiere,Contienen materiales tóxicos como mercurio y plomo que contaminan si no se gestionan correctamente; Recuperación de componentes electrónicos y vidrio,Alta
restos_de_poda,Residuo Especial,Materia organica vegetal (Restos de poda),Punto limpio,"Separar de otros residuos; Si es posible, triturar o cortar en trozos pequeños; Consultar el servicio municipal o local para su recogida específica o puntos de entrega",Tirar en la basura comun; Mezclar con plasticos o metales; No consultar el servicio local para grandes volumenes,"Los restos orgánicos pueden ser compostados para fertilizante, convertidos en biomasa o mulching, evitando el vertido y enriqueciendo el suelo",Baja
organico,Organico,Restos vegetales secos,Contenedor urbano marron,Descartar en compostera si es posible; Mezclar con otros residuos organicos,Tirar en contenedor de reciclables; Mezclar con liquidos,El compostaje enriquece el suelo y reduce los residuos en vertederos,Baja
aceite_usado_de_cocina_o_motor,Residuo Especial,Aceite Vegetal Usado,Punto limpio,No tirar por el fregadero; Guardar en un envase cerrado (ej: botella de plastico); Llevar a un punto de recoleccion especifico,Tirar por el desague o inodoro; Mezclar con basura comun; Verter en la tierra o jardines,"1 litro de aceite contamina 1000 litros de agua, obstruye tuberias y afecta ecosistemas",Alta
