tipo,categoria,subcategoria,contenedor,instrucciones,errores_comunes,impacto,urgencia
plastico_pet,♻️ Reciclable,Plástico PET (tipo 1),Contenedor VERDE / Punto Verde,Enjuagar con agua;Retirar la tapa (es de distinto plástico);Retirar la etiqueta si es posible;Aplastar para reducir volumen;Depositar en contenedor verde o Punto Verde,❌ Tirar con líquido adentro — contamina toda la bolsa;❌ Mezclar con bolsas de plástico,Con 10 botellas PET se puede hacer 1 remera de polar.,Baja
plastico_bolsa,⚠️ Reciclable especial,Film plástico / Bolsas,Puntos de recolección en supermercados,Asegurarse de que estén limpias y secas;Juntar varias bolsas juntas;Llevar al punto de recolección de film plástico,❌ Tirar en reciclables comunes — traban la maquinaria;❌ Mezclar con botellas PET,El film plástico puede reutilizarse para fabricar nuevas bolsas.,Media
plastico_decoracion,⚠️ Reciclable especial,Plástico mixto / Plástico duro,Punto Verde / Consultar municipio,Desarmar en partes si es posible;Separar metales o cables si los tiene;Llevar al Punto Verde más cercano,❌ Tirar en basura común si está en buen estado — puede donarse;❌ Mezclar con botellas PET,El plástico duro puede reciclarse en mobiliario urbano y macetas.,Media
telgopor,🚫 Basura común,Telgopor (EPS — Poliestireno expandido),Basura común (NO reciclar),Depositar en la basura común;Si hay punto de recolección específico en tu municipio preferirlo,❌ Poner en reciclables — contamina el lote;❌ Quemarlo — libera gases tóxicos,El telgopor tarda +500 años en degradarse. Evitar su uso es la mejor opción.,Baja
vidrio,♻️ Reciclable,Vidrio,Contenedor VERDE (vidrio) / Punto Verde,Enjuagar para eliminar restos;Retirar la tapa metálica (va en metales);NO romper;Depositar entero en el contenedor de vidrio,❌ Tirar vidrio roto — peligroso para trabajadores;❌ Incluir porcelana o cerámica — no son vidrio,El vidrio es 100% reciclable infinitas veces sin perder calidad.,Baja
vidrio_no_reciclable,🚫 Basura común,Vidrio no reciclable (espejo / cerámica),Basura común — envolver bien para evitar cortes,Envolver en papel o tela para evitar cortes;Depositar en basura común,❌ Mezclar con vidrio reciclable — composición química diferente;❌ Tirar sin envolver — peligroso,Los espejos y cerámicas no pueden procesarse junto al vidrio común.,Baja
papel,♻️ Reciclable,Papel,Contenedor AZUL / Punto Verde,Asegurarse de que esté seco;Retirar clips o ganchos metálicos;Doblar para reducir volumen;Depositar en contenedor azul,❌ Papel sucio o húmedo — no reciclable;❌ Papel higiénico o servilletas usadas — van a basura común;❌ Papel manteca o parafinado — no reciclable,Reciclar 1 tonelada de papel salva 17 árboles y 26.000 litros de agua.,Baja
papel_higienico,🚫 Basura común,Papel higiénico / Servilletas / Tissue,Basura común,Depositar en la bolsa de basura común;No mezclar con papel y cartón reciclables,❌ Creer que es reciclable por ser papel — las fibras son demasiado cortas,Reducir el consumo de papel tissue y usar alternativas de tela es la mejor opción.,Baja
papel_no_reciclable,🚫 Basura común,Papel no reciclable (metalizado / encerado / térmico),Basura común,Depositar en la bolsa de basura común;No mezclar con papel reciclable,❌ Creer que todo el papel es reciclable — los papeles con recubrimiento no lo son,Elegir envoltorios sin recubrimiento plástico o metálico reduce este tipo de residuo.,Baja
carton,♻️ Reciclable,Cartón,Contenedor AZUL / Punto Verde,Desarmar las cajas;Retirar cintas adhesivas y plásticos;Si tiene grasa descartar esa parte en basura común;Atar con hilo si es mucho,❌ Cartón húmedo o con grasa — contamina el lote,El cartón se puede reciclar hasta 7 veces.,Baja
